id,species
151.0,Iris-setosa
152.0,Iris-setosa
153.0,Iris-setosa
154.0,Iris-setosa
155.0,Iris-setosa
156.0,Iris-setosa
157.0,Iris-setosa
158.0,Iris-setosa
159.0,Iris-setosa
160.0,Iris-setosa
161.0,Iris-setosa
162.0,Iris-setosa
163.0,Iris-setosa
164.0,Iris-setosa
165.0,Iris-setosa
166.0,Iris-setosa
167.0,Iris-setosa
168.0,Iris-setosa
169.0,Iris-setosa
170.0,Iris-setosa
171.0,Iris-setosa
172.0,Iris-setosa
173.0,Iris-setosa
174.0,Iris-setosa
175.0,Iris-setosa
176.0,Iris-versicolor
177.0,Iris-versicolor
178.0,Iris-versicolor
179.0,Iris-versicolor
180.0,Iris-versicolor
181.0,Iris-versicolor
182.0,Iris-versicolor
183.0,Iris-versicolor
184.0,Iris-versicolor
185.0,Iris-versicolor
186.0,Iris-versicolor
187.0,Iris-versicolor
188.0,Iris-versicolor
189.0,Iris-versicolor
190.0,Iris-versicolor
191.0,Iris-versicolor
192.0,Iris-versicolor
193.0,Iris-versicolor
194.0,Iris-versicolor
195.0,Iris-versicolor
196.0,Iris-versicolor
197.0,Iris-versicolor
198.0,Iris-versicolor
199.0,Iris-versicolor
200.0,Iris-versicolor
201.0,Iris-virginica
202.0,Iris-virginica
203.0,Iris-virginica
204.0,Iris-virginica
205.0,Iris-virginica
206.0,Iris-virginica
207.0,Iris-virginica
208.0,Iris-virginica
209.0,Iris-virginica
210.0,Iris-virginica
211.0,Iris-virginica
212.0,Iris-virginica
213.0,Iris-virginica
214.0,Iris-virginica
215.0,Iris-virginica
216.0,Iris-virginica
217.0,Iris-virginica
218.0,Iris-virginica
219.0,Iris-virginica
220.0,Iris-virginica
221.0,Iris-virginica
222.0,Iris-virginica
223.0,Iris-virginica
224.0,Iris-virginica
